LECROYWR6050,12680,Waveform
Segments,1,SegmentSize,2002
Segment,TrigTime,TimeSinceSegment1
#1,22-Mar-2022 11:31:30,0                 
Time,Ampl
-1.963611e-007,21.3407
-1.953611e-007,21.3407
-1.943611e-007,21.3407
-1.933611e-007,21.3407
-1.923611e-007,-67.0485
-1.913611e-007,21.3407
-1.903611e-007,-67.0485
-1.893611e-007,109.73
-1.883611e-007,21.3407
-1.873611e-007,109.73
-1.863611e-007,109.73
-1.853611e-007,-67.0485
-1.843611e-007,109.73
-1.833611e-007,198.119
-1.823611e-007,-67.0485
-1.813611e-007,21.3407
-1.803611e-007,21.3407
-1.793611e-007,21.3407
-1.783611e-007,-67.0485
-1.773611e-007,-67.0485
-1.763611e-007,-155.438
-1.753611e-007,198.119
-1.743611e-007,21.3407
-1.733611e-007,109.73
-1.723611e-007,-67.0485
-1.713611e-007,109.73
-1.703611e-007,21.3407
-1.693611e-007,-67.0485
-1.683611e-007,21.3407
-1.673611e-007,21.3407
-1.663611e-007,198.119
-1.653611e-007,21.3407
-1.643611e-007,21.3407
-1.633611e-007,-67.0485
-1.623611e-007,-67.0485
-1.613611e-007,-155.438
-1.603611e-007,21.3407
-1.593611e-007,21.3407
-1.583611e-007,21.3407
-1.573611e-007,109.73
-1.563611e-007,21.3407
-1.553611e-007,109.73
-1.543611e-007,21.3407
-1.533611e-007,-67.0485
-1.523611e-007,-67.0485
-1.513611e-007,109.73
-1.503611e-007,-67.0485
-1.493611e-007,21.3407
-1.483611e-007,-67.0485
-1.473611e-007,21.3407
-1.463611e-007,-243.827
-1.453611e-007,21.3407
-1.443611e-007,21.3407
-1.433611e-007,-67.0485
-1.423611e-007,109.73
-1.413611e-007,21.3407
-1.403611e-007,-67.0485
-1.393611e-007,21.3407
-1.383611e-007,21.3407
-1.373611e-007,-67.0485
-1.363611e-007,109.73
-1.353611e-007,109.73
-1.343611e-007,21.3407
-1.333611e-007,-67.0485
-1.323611e-007,21.3407
-1.313611e-007,-67.0485
-1.303611e-007,21.3407
-1.293611e-007,21.3407
-1.283611e-007,-67.0485
-1.273611e-007,109.73
-1.263611e-007,21.3407
-1.253611e-007,109.73
-1.243611e-007,21.3407
-1.233611e-007,21.3407
-1.223611e-007,21.3407
-1.213611e-007,21.3407
-1.203611e-007,21.3407
-1.193611e-007,21.3407
-1.183611e-007,21.3407
-1.173611e-007,109.73
-1.163611e-007,109.73
-1.153611e-007,109.73
-1.143611e-007,109.73
-1.133611e-007,-243.827
-1.123611e-007,21.3407
-1.113611e-007,21.3407
-1.103611e-007,21.3407
-1.093611e-007,198.119
-1.083611e-007,21.3407
-1.073611e-007,21.3407
-1.063611e-007,21.3407
-1.053611e-007,109.73
-1.043611e-007,21.3407
-1.033611e-007,109.73
-1.023611e-007,198.119
-1.013611e-007,21.3407
-1.003611e-007,109.73
-9.936108e-008,109.73
-9.836108e-008,-67.0485
-9.736108e-008,21.3407
-9.636108e-008,21.3407
-9.536108e-008,21.3407
-9.436108e-008,198.119
-9.336108e-008,109.73
-9.236108e-008,198.119
-9.136108e-008,198.119
-9.036108e-008,109.73
-8.936108e-008,21.3407
-8.836108e-008,109.73
-8.736108e-008,286.508
-8.636108e-008,21.3407
-8.536108e-008,198.119
-8.436108e-008,198.119
-8.336108e-008,286.508
-8.236108e-008,198.119
-8.136108e-008,374.897
-8.036108e-008,198.119
-7.936108e-008,463.287
-7.836108e-008,640.065
-7.736108e-008,551.676
-7.636108e-008,551.676
-7.536108e-008,551.676
-7.436108e-008,551.676
-7.336108e-008,463.287
-7.236108e-008,551.676
-7.136108e-008,463.287
-7.036108e-008,551.676
-6.936108e-008,551.676
-6.836108e-008,640.065
-6.736108e-008,728.454
-6.636108e-008,816.843
-6.536108e-008,905.233
-6.436108e-008,993.622
-6.336108e-008,1170.4
-6.236108e-008,993.622
-6.136108e-008,1258.79
-6.036108e-008,1347.18
-5.936108e-008,1347.18
-5.836108e-008,1435.57
-5.736108e-008,1347.18
-5.636108e-008,1347.18
-5.536108e-008,1435.57
-5.436108e-008,1347.18
-5.336108e-008,1435.57
-5.236108e-008,1612.35
-5.136108e-008,1523.96
-5.036108e-008,1523.96
-4.936108e-008,1612.35
-4.836108e-008,1700.74
-4.736108e-008,1789.12
-4.636108e-008,1877.51
-4.536108e-008,2054.29
-4.436108e-008,1965.9
-4.336108e-008,2231.07
-4.236108e-008,1965.9
-4.136108e-008,2142.68
-4.036108e-008,2231.07
-3.936108e-008,2054.29
-3.836108e-008,1877.51
-3.736108e-008,1612.35
-3.636108e-008,1435.57
-3.536108e-008,1347.18
-3.436108e-008,1170.4
-3.336108e-008,1347.18
-3.236108e-008,1170.4
-3.136108e-008,905.233
-3.036108e-008,1082.01
-2.936108e-008,1082.01
-2.836108e-008,905.233
-2.736108e-008,993.622
-2.636108e-008,816.843
-2.536108e-008,905.233
-2.436108e-008,993.622
-2.336108e-008,905.233
-2.236108e-008,816.843
-2.136108e-008,816.843
-2.036108e-008,728.454
-1.936108e-008,816.843
-1.836108e-008,640.065
-1.736108e-008,728.454
-1.636108e-008,286.508
-1.536108e-008,109.73
-1.436108e-008,21.3407
-1.336108e-008,-67.0485
-1.236108e-008,198.119
-1.136108e-008,374.897
-1.036108e-008,198.119
-9.361084e-009,286.508
-8.361084e-009,109.73
-7.361084e-009,463.287
-6.361084e-009,551.676
-5.361084e-009,374.897
-4.361084e-009,551.676
-3.361084e-009,551.676
-2.361084e-009,463.287
-1.361084e-009,551.676
-3.610837e-010,640.065
6.389163e-010,728.454
1.638916e-009,816.843
2.638916e-009,816.843
3.638916e-009,728.454
4.638916e-009,728.454
5.638916e-009,728.454
6.638916e-009,728.454
7.638916e-009,1082.01
8.638916e-009,1082.01
9.638916e-009,993.622
1.063892e-008,993.622
1.163892e-008,1258.79
1.263892e-008,1082.01
1.363892e-008,1170.4
1.463892e-008,1523.96
1.563892e-008,1258.79
1.663892e-008,1435.57
1.763892e-008,1523.96
1.863892e-008,1523.96
1.963892e-008,1700.74
2.063892e-008,1877.51
2.163892e-008,1612.35
2.263892e-008,1523.96
2.363892e-008,1347.18
2.463892e-008,1347.18
2.563892e-008,1170.4
2.663892e-008,1170.4
2.763892e-008,1082.01
2.863892e-008,1082.01
2.963892e-008,1082.01
