LECROYWR6050,12680,Waveform
Segments,1,SegmentSize,2002
Segment,TrigTime,TimeSinceSegment1
#1,22-Mar-2022 11:31:32,0                 
Time,Ampl
-1.967129e-007,0.34097
-1.957129e-007,-0.542922
-1.947129e-007,-0.542922
-1.937129e-007,0.34097
-1.927129e-007,0.34097
-1.917129e-007,-0.542922
-1.907129e-007,-0.542922
-1.897129e-007,2.10875
-1.887129e-007,-0.542922
-1.877129e-007,0.34097
-1.867129e-007,-1.42681
-1.857129e-007,-0.542922
-1.847129e-007,-1.42681
-1.837129e-007,-0.542922
-1.827129e-007,-1.42681
-1.817129e-007,0.34097
-1.807129e-007,-0.542922
-1.797129e-007,-0.542922
-1.787129e-007,0.34097
-1.777129e-007,1.22486
-1.767129e-007,-0.542922
-1.757129e-007,0.34097
-1.747129e-007,1.22486
-1.737129e-007,0.34097
-1.727129e-007,-1.42681
-1.717129e-007,-0.542922
-1.707129e-007,0.34097
-1.697129e-007,0.34097
-1.687129e-007,0.34097
-1.677129e-007,0.34097
-1.667129e-007,-0.542922
-1.657129e-007,1.22486
-1.647129e-007,0.34097
-1.637129e-007,-0.542922
-1.627129e-007,1.22486
-1.617129e-007,0.34097
-1.607129e-007,0.34097
-1.597129e-007,0.34097
-1.587129e-007,0.34097
-1.577129e-007,1.22486
-1.567129e-007,1.22486
-1.557129e-007,-0.542922
-1.547129e-007,-0.542922
-1.537129e-007,1.22486
-1.527129e-007,0.34097
-1.517129e-007,0.34097
-1.507129e-007,-0.542922
-1.497129e-007,-0.542922
-1.487129e-007,1.22486
-1.477129e-007,-0.542922
-1.467129e-007,0.34097
-1.457129e-007,0.34097
-1.447129e-007,0.34097
-1.437129e-007,-0.542922
-1.427129e-007,2.10875
-1.417129e-007,2.99265
-1.407129e-007,-0.542922
-1.397129e-007,-0.542922
-1.387129e-007,-0.542922
-1.377129e-007,1.22486
-1.367129e-007,0.34097
-1.357129e-007,-1.42681
-1.347129e-007,-1.42681
-1.337129e-007,-0.542922
-1.327129e-007,0.34097
-1.317129e-007,-0.542922
-1.307129e-007,-0.542922
-1.297129e-007,1.22486
-1.287129e-007,-1.42681
-1.277129e-007,-1.42681
-1.267129e-007,2.10875
-1.257129e-007,0.34097
-1.247129e-007,0.34097
-1.237129e-007,0.34097
-1.227129e-007,-0.542922
-1.217129e-007,0.34097
-1.207129e-007,1.22486
-1.197129e-007,-0.542922
-1.187129e-007,-0.542922
-1.177129e-007,1.22486
-1.167129e-007,-0.542922
-1.157129e-007,-2.31071
-1.147129e-007,1.22486
-1.137129e-007,0.34097
