LECROYWR6050,12680,Waveform
Segments,1,SegmentSize,2002
Segment,TrigTime,TimeSinceSegment1
#1,05-Apr-2022 13:03:42,0                 
Time,Ampl
-1.96895e-007,-0.775138
-1.95895e-007,0.992646
-1.94895e-007,-0.775138
-1.93895e-007,-0.775138
-1.92895e-007,0.108754
-1.91895e-007,-0.775138
-1.90895e-007,0.992646
-1.89895e-007,0.108754
-1.88895e-007,-2.54292
-1.87895e-007,-0.775138
-1.86895e-007,0.992646
-1.85895e-007,-1.65903
-1.84895e-007,-0.775138
-1.83895e-007,0.992646
-1.82895e-007,-0.775138
-1.81895e-007,0.992646
-1.80895e-007,0.108754
-1.79895e-007,1.87654
-1.78895e-007,0.108754
-1.77895e-007,0.992646
-1.76895e-007,0.108754
-1.75895e-007,-0.775138
-1.74895e-007,0.992646
-1.73895e-007,-0.775138
-1.72895e-007,0.108754
-1.71895e-007,1.87654
-1.70895e-007,-0.775138
-1.69895e-007,0.992646
-1.68895e-007,0.108754
-1.67895e-007,0.108754
-1.66895e-007,0.108754
-1.65895e-007,0.108754
-1.64895e-007,-0.775138
-1.63895e-007,-0.775138
-1.62895e-007,0.992646
-1.61895e-007,-0.775138
-1.60895e-007,-0.775138
-1.59895e-007,0.108754
-1.58895e-007,0.108754
-1.57895e-007,0.108754
-1.56895e-007,-0.775138
-1.55895e-007,0.108754
-1.54895e-007,-0.775138
-1.53895e-007,0.108754
-1.52895e-007,-1.65903
-1.51895e-007,-0.775138
-1.50895e-007,-0.775138
-1.49895e-007,-0.775138
-1.48895e-007,-2.54292
-1.47895e-007,1.87654
-1.46895e-007,0.992646
-1.45895e-007,0.992646
-1.44895e-007,0.992646
-1.43895e-007,-1.65903
-1.42895e-007,0.108754
-1.41895e-007,0.992646
-1.40895e-007,-2.54292
-1.39895e-007,-1.65903
-1.38895e-007,0.108754
-1.37895e-007,-0.775138
-1.36895e-007,-2.54292
-1.35895e-007,0.992646
-1.34895e-007,-0.775138
-1.33895e-007,0.108754
-1.32895e-007,0.108754
-1.31895e-007,0.108754
-1.30895e-007,-0.775138
-1.29895e-007,0.108754
-1.28895e-007,0.108754
-1.27895e-007,-1.65903
-1.26895e-007,1.87654
-1.25895e-007,-1.65903
-1.24895e-007,-0.775138
-1.23895e-007,0.108754
-1.22895e-007,-0.775138
-1.21895e-007,0.108754
-1.20895e-007,-0.775138
-1.19895e-007,0.108754
-1.18895e-007,0.108754
-1.17895e-007,0.108754
-1.16895e-007,-1.65903
-1.15895e-007,0.992646
-1.14895e-007,1.87654
-1.13895e-007,0.992646
-1.12895e-007,-0.775138
-1.11895e-007,0.108754
-1.10895e-007,0.108754
-1.09895e-007,-1.65903
-1.08895e-007,0.992646
-1.07895e-007,-1.65903
-1.06895e-007,-0.775138
-1.05895e-007,0.108754
-1.04895e-007,0.108754
-1.03895e-007,-0.775138
-1.02895e-007,-0.775138
-1.01895e-007,-1.65903
-1.00895e-007,-2.54292
-9.989499e-008,0.992646
-9.889499e-008,0.108754
-9.789499e-008,-0.775138
-9.689499e-008,0.108754
-9.589499e-008,0.992646
-9.489499e-008,2.76043
-9.389499e-008,0.992646
-9.289499e-008,1.87654
-9.189499e-008,0.992646
-9.089499e-008,0.992646
-8.989499e-008,-0.775138
-8.889499e-008,-1.65903
-8.789499e-008,-0.775138
-8.689499e-008,-1.65903
-8.589499e-008,0.108754
-8.489499e-008,-0.775138
-8.389499e-008,0.992646
-8.289499e-008,0.992646
-8.189499e-008,-0.775138
-8.089499e-008,1.87654
-7.989499e-008,0.992646
-7.889499e-008,1.87654
-7.789499e-008,1.87654
-7.689499e-008,0.992646
-7.589499e-008,0.992646
-7.489499e-008,-0.775138
-7.389499e-008,-0.775138
-7.289499e-008,-0.775138
-7.189499e-008,-0.775138
-7.089499e-008,-1.65903
-6.989499e-008,0.992646
-6.889499e-008,-0.775138
-6.789499e-008,2.76043
-6.689499e-008,2.76043
-6.589499e-008,3.64432
-6.489499e-008,3.64432
-6.389499e-008,2.76043
-6.289499e-008,3.64432
-6.189499e-008,1.87654
-6.089499e-008,0.108754
-5.989499e-008,-0.775138
-5.889499e-008,-1.65903
-5.789499e-008,1.87654
-5.689499e-008,0.108754
-5.589499e-008,0.992646
-5.489499e-008,0.992646
-5.389499e-008,0.108754
-5.289499e-008,0.108754
-5.189499e-008,1.87654
-5.089499e-008,3.64432
-4.989499e-008,2.76043
-4.889499e-008,2.76043
-4.789499e-008,-0.775138
-4.689499e-008,-0.775138
-4.589499e-008,-1.65903
-4.489499e-008,-4.31071
-4.389499e-008,-4.31071
-4.289499e-008,-4.31071
-4.189499e-008,-4.31071
-4.089499e-008,-4.31071
-3.989499e-008,-6.96238
-3.889499e-008,-7.84627
-3.789499e-008,-7.84627
-3.689499e-008,-7.84627
-3.589499e-008,-7.84627
-3.489499e-008,-8.73017
-3.389499e-008,-9.61406
-3.289499e-008,-10.4979
-3.189499e-008,-8.73017
-3.089499e-008,-6.96238
-2.989499e-008,-7.84627
-2.889499e-008,-7.84627
-2.789499e-008,-10.4979
-2.689499e-008,-13.1496
-2.589499e-008,-10.4979
-2.489499e-008,-11.3818
-2.389499e-008,-6.96238
-2.289499e-008,-7.84627
-2.189499e-008,-6.96238
-2.089499e-008,-6.07849
-1.989499e-008,-6.96238
-1.889499e-008,-5.1946
-1.789499e-008,-5.1946
-1.689499e-008,-6.07849
-1.589499e-008,-5.1946
-1.489499e-008,-4.31071
-1.389499e-008,-5.1946
-1.289499e-008,-4.31071
-1.189499e-008,-3.42681
-1.089499e-008,-3.42681
-9.894985e-009,0.108754
-8.894985e-009,-0.775138
-7.894985e-009,0.108754
-6.894985e-009,-0.775138
-5.894985e-009,-2.54292
-4.894985e-009,-0.775138
-3.894985e-009,3.64432
-2.894985e-009,6.296
-1.894985e-009,7.17989
-8.949853e-010,10.7155
1.050147e-010,16.0188
1.105015e-009,24.8577
2.105015e-009,37.2322
3.105015e-009,46.0711
4.105015e-009,50.4906
5.105015e-009,49.6067
6.105015e-009,46.955
7.105015e-009,35.4644
8.105015e-009,25.7416
9.105015e-009,9.83157
1.010501e-008,-4.31071
1.110501e-008,-14.0335
1.210501e-008,-20.2208
1.310501e-008,-24.6402
1.410501e-008,-24.6402
1.510501e-008,-23.7563
1.610501e-008,-21.1047
1.710501e-008,-16.6852
1.810501e-008,-15.8013
1.910501e-008,-16.6852
2.010501e-008,-21.9885
2.110501e-008,-25.5241
2.210501e-008,-22.8724
2.310501e-008,-16.6852
2.410501e-008,-10.4979
2.510501e-008,-8.73017
2.610501e-008,-9.61406
2.710501e-008,-10.4979
2.810501e-008,-9.61406
2.910501e-008,-7.84627
3.010501e-008,-7.84627
3.110501e-008,-8.73017
3.210501e-008,-10.4979
3.310501e-008,-9.61406
3.410501e-008,-6.96238
3.510501e-008,-5.1946
3.610501e-008,-0.775138
3.710501e-008,0.992646
3.810501e-008,3.64432
3.910501e-008,1.87654
4.010501e-008,0.108754
4.110501e-008,-0.775138
4.210501e-008,0.108754
4.310501e-008,-4.31071
4.410501e-008,-3.42681
4.510501e-008,-3.42681
4.610501e-008,-4.31071
4.710501e-008,-2.54292
4.810501e-008,0.992646
4.910501e-008,0.992646
5.010501e-008,2.76043
5.110501e-008,0.992646
5.210501e-008,1.87654
5.310501e-008,0.108754
5.410501e-008,0.108754
5.510501e-008,-0.775138
5.610501e-008,1.87654
5.710501e-008,2.76043
5.810501e-008,3.64432
5.910501e-008,1.87654
6.010501e-008,2.76043
6.110501e-008,0.992646
6.210501e-008,0.992646
6.310501e-008,-1.65903
6.410501e-008,0.108754
6.510501e-008,3.64432
6.610501e-008,3.64432
6.710501e-008,4.52821
6.810501e-008,4.52821
6.910501e-008,4.52821
7.010501e-008,4.52821
7.110501e-008,3.64432
7.210501e-008,1.87654
7.310501e-008,0.992646
7.410501e-008,-0.775138
7.510501e-008,-4.31071
7.610501e-008,-1.65903
7.710501e-008,-1.65903
7.810501e-008,-1.65903
7.910501e-008,-2.54292
8.010501e-008,-3.42681
8.110501e-008,-4.31071
8.210501e-008,-6.07849
8.310501e-008,-5.1946
8.410501e-008,-4.31071
8.510501e-008,-6.96238
8.610501e-008,-5.1946
8.710501e-008,-6.96238
8.810501e-008,-6.07849
8.910501e-008,-6.96238
9.010501e-008,-5.1946
9.110501e-008,-6.96238
9.210501e-008,-4.31071
9.310501e-008,-6.07849
9.410501e-008,-6.96238
9.510501e-008,-5.1946
9.610501e-008,-5.1946
9.710501e-008,-2.54292
9.810501e-008,0.992646
9.910501e-008,0.108754
1.00105e-007,2.76043
1.01105e-007,2.76043
1.02105e-007,3.64432
1.03105e-007,0.992646
1.04105e-007,1.87654
1.05105e-007,0.108754
1.06105e-007,0.992646
1.07105e-007,0.108754
1.08105e-007,0.108754
1.09105e-007,0.108754
1.10105e-007,1.87654
1.11105e-007,2.76043
1.12105e-007,5.41211
1.13105e-007,4.52821
